"Country or Area Code","Country or Area","Year(s)","Variant","Value"
"724","Spain","2020","Medium","46754.778"
"144","Sri Lanka","2020","Medium","21413.249"
"275","State of Palestine","2020","Medium","5101.414"
"947","Sub-Saharan Africa","2020","Medium","1094365.629"
"729","Sudan","2020","Medium","43849.26"
"740","Suriname","2020","Medium","586.632"
"752","Sweden","2020","Medium","10099.265"
"756","Switzerland","2020","Medium","8654.622"
"760","Syrian Arab Republic","2020","Medium","17500.658"
"762","Tajikistan","2020","Medium","9537.645"
"764","Thailand","2020","Medium","69799.978"
"626","Timor-Leste","2020","Medium","1318.445"
"768","Togo","2020","Medium","8278.724"
"772","Tokelau","2020","Medium","1.357"
"776","Tonga","2020","Medium","105.695"
"780","Trinidad and Tobago","2020","Medium","1399.488"
"788","Tunisia","2020","Medium","11818.619"
"792","Turkey","2020","Medium","84339.067"
"795","Turkmenistan","2020","Medium","6031.2"
"796","Turks and Caicos Islands","2020","Medium","38.717"
"798","Tuvalu","2020","Medium","11.792"
"800","Uganda","2020","Medium","45741.007"
"804","Ukraine","2020","Medium","43733.762"
"784","United Arab Emirates","2020","Medium","9890.402"
"826","United Kingdom","2020","Medium","67886.011"
"834","United Republic of Tanzania","2020","Medium","59734.218"
"840","United States of America","2020","Medium","331002.651"
"850","United States Virgin Islands","2020","Medium","104.425"
"1502","Upper-middle-income countries","2020","Medium","2654816.37"
"858","Uruguay","2020","Medium","3473.73"
"860","Uzbekistan","2020","Medium","33469.203"
"548","Vanuatu","2020","Medium","307.145"
"862","Venezuela (Bolivarian Republic of)","2020","Medium","28435.94"
"704","Viet Nam","2020","Medium","97338.579"
"876","Wallis and Futuna Islands","2020","Medium","11.239"
"914","Western Africa","2020","Medium","401861.254"
"922","Western Asia","2020","Medium","279636.754"
"926","Western Europe","2020","Medium","196146.316"
"732","Western Sahara","2020","Medium","597.339"
"900","World","2020","Medium","7794798.739"
"887","Yemen","2020","Medium","29825.964"
"894","Zambia","2020","Medium","18383.955"
"716","Zimbabwe","2020","Medium","14862.924"
